group_label,mean_forward_return,hit_rate
Q01,0.01191896865707183,0.40148336511972876
Q02,0.005074566215824203,0.4073056739914726
Q03,0.000575236614603691,0.40630697828609313
Q04,7.562570132519762e-05,0.40303438150006116
Q05,-0.0028160559496371615,0.4019456203191143
Q06,0.0001959779434417975,0.40360794746030426
Q07,0.0010778922810104887,0.4057655138380557
Q08,0.0010898171941678917,0.4041670091230377
Q09,-0.0011048895703388367,0.40024803637866885
Q10,0.0005541097962916563,0.40210067380103054
