"Date","AssetType","Security","Side","Quantity","AvailableQuantity","CloseOrSettlementPrice","MarketValue","UnrealizedPnL","AverageOpenPrice","AverageHoldingPriceFutures","Margin","DailyPnL","TodayQuantity","PnLRatio","PositionRatio"
"2011-01-04","","Cash","","","","","100000","","","","","","","","0"
"2011-01-05","","Cash","","","","","100000","","","","","","","","0"
"2011-01-06","","Cash","","","","","100000","","","","","","","","0"
"2011-01-07","","Cash","","","","","100000","","","","","","","","0"
"2011-01-10","","Cash","","","","","100000","","","","","","","","0"
"2011-01-11","Equity","002049.XSHE","Long","4000 shares","0 shares","23.71","94840","-3760","24.65","-","0","-3760","4000 shares","-3.81%","96210.42"
"2011-01-11","","Cash","","","","","1370.42","","","","","","","","0"
"2011-01-12","","Cash","","","","","96446.66","","","","","","","","0"
"2011-01-13","Equity","002049.XSHE","Long","3900 shares","0 shares","24.15","94185","-975","24.4","-","0","-975","3900 shares","-1.02%","95443.11"
"2011-01-13","","Cash","","","","","1258.11","","","","","","","","0"
"2011-01-14","","Cash","","","","","92516.32","","","","","","","","0"
"2011-01-17","","Cash","","","","","92516.32","","","","","","","","0"
"2011-01-18","","Cash","","","","","92516.32","","","","","","","","0"
"2011-01-19","Equity","000591.XSHE","Long","8700 shares","0 shares","10.82","94134","1914","10.6","-","0","1914","8700 shares","2.08%","94402.66"
"2011-01-19","","Cash","","","","","268.66","","","","","","","","0"
"2011-01-20","Equity","000591.XSHE","Long","8700 shares","8700 shares","10.41","90567","-1653","10.6","-","0","-3567","0 shares","-1.79%","90835.66"
"2011-01-20","","Cash","","","","","268.66","","","","","","","","0"
"2011-01-21","Equity","000591.XSHE","Long","8700 shares","8700 shares","10.45","90915","-1305","10.6","-","0","348","0 shares","-1.42%","91183.66"
"2011-01-21","","Cash","","","","","268.66","","","","","","","","0"
"2011-01-24","","Cash","","","","","89153.95","","","","","","","","0"
"2011-01-25","Equity","002056.XSHE","Long","2800 shares","0 shares","31.04","86912","812","30.75","-","0","812","2800 shares","0.94%","89940.12"
"2011-01-25","","Cash","","","","","3028.12","","","","","","","","0"
"2011-01-26","Equity","002056.XSHE","Long","2800 shares","2800 shares","32.91","92148","6048","30.75","-","0","5236","0 shares","7.02%","95176.12"
"2011-01-26","","Cash","","","","","3028.12","","","","","","","","0"
"2011-01-27","Equity","600160.XSHG","Long","100 shares","0 shares","19.08","1908","108","18","-","0","108","100 shares","6%","93341.7"
"2011-01-27","","Cash","","","","","91433.7","","","","","","","","0"
"2011-01-28","Equity","600160.XSHG","Long","100 shares","100 shares","19.49","1949","149","18","-","0","41","0 shares","8.28%","93382.7"
"2011-01-28","","Cash","","","","","91433.7","","","","","","","","0"
"2011-01-31","Equity","600160.XSHG","Long","100 shares","100 shares","19.71","1971","171","18","-","0","22","0 shares","9.5%","93404.7"
