group_label,mean_forward_return,hit_rate
Q01,-0.049401541569130285,0.35562064866700627
Q02,-0.022940455058186534,0.3839234371149265
Q03,-0.01142004371889581,0.39897963416151644
Q04,-0.006021503725191793,0.40179922306276833
Q05,-0.0024906790764463935,0.40538997839116075
Q06,-0.0004215471028466721,0.40725789670814433
Q07,0.0012083393306170308,0.40118772682283077
Q08,0.0038689365052187396,0.4062757032406646
Q09,0.02047822553249094,0.41393595426488256
Q10,0.07960135085379562,0.4594401429422275
