trade_date,factor_id,factor_name,factor_column,sort_order,normalized_weight,selected_weighted_raw_value,eligible_universe_raw_value_mean,selected_weighted_percentile,eligible_universe_percentile_mean,selection_edge,selected_weighted_score_component,rank_ic
2011-02-22,F01,Volume Contraction Factor,volume_contraction_factor_15_80,Ascending,0.0316856780735107,0.4339720998510188,0.7101797068578002,0.1849604221635883,0.5013192612137203,0.3163588390501319,2.2211660329531053,-0.2995372445556791
2011-02-22,F02,Turnover Rate,turnover_rate_15,Descending,0.044359949302915,0.0082308362573602,0.0077879142389086,0.445646437994723,0.5013192612137203,0.0556728232189973,7.492395437262359,0.0546617262882061
2011-02-22,F03,Long-Term Low Volume,long_term_low_volume_30,Ascending,0.0316856780735107,4137533.543333333,8912735.95180299,0.3340369393139842,0.5013192612137203,0.167282321899736,4.011406844106464,-0.1762598202035244
2011-02-22,F04,Oversold,oversold_39,Ascending,0.7604562737642586,-0.1851429819621363,-0.0655832475806388,0.0385224274406332,0.5013192612137203,0.462796833773087,11.102661596958177,-0.1590895840182682
2011-02-22,F05,Oversold,oversold_270,Ascending,0.1267427122940431,-0.4077164463901297,-0.086504530054872,0.1604221635883905,0.5013192612137203,0.3408970976253297,7.7059569074778205,-0.0929146847896665
2011-02-22,F06,Net Capital Inflow,net_capital_inflow_6,Ascending,0.0050697084917617,-1956982.9562098405,-302392.8998271065,0.354353562005277,0.5013192612137203,0.1469656992084432,0.6808618504435997,-0.0254978944169896
2011-03-01,F01,Volume Contraction Factor,volume_contraction_factor_15_80,Ascending,0.0316856780735107,0.6222489559508414,0.8514719389907651,0.2218274111675127,0.501269035532995,0.2794416243654822,2.769328263624842,0.0121844094004722
2011-03-01,F02,Turnover Rate,turnover_rate_15,Descending,0.044359949302915,0.0102046177967227,0.009226379734208,0.4258883248730964,0.501269035532995,0.0753807106598984,7.443599493029152,0.0158464520148567
2011-03-01,F03,Long-Term Low Volume,long_term_low_volume_30,Ascending,0.0316856780735107,6772378.126666668,8839839.610067682,0.384010152284264,0.501269035532995,0.1172588832487309,4.794043092522181,0.2705983643236023
2011-03-01,F04,Oversold,oversold_39,Ascending,0.7604562737642586,-0.0879521346048835,0.0415588986440823,0.0355329949238578,0.501269035532995,0.4657360406091371,10.64638783269962,0.1396096603958235
2011-03-01,F05,Oversold,oversold_270,Ascending,0.1267427122940431,-0.3730770831849841,-0.0484754015489001,0.1766497461928934,0.5012625937282589,0.3246128475353654,8.8212927756654,-0.2661815596280236
