group_label,mean_forward_return,hit_rate
Q01,0.006104836437296626,0.39836984207845133
Q02,0.004002901975005885,0.42401215805471126
Q03,0.01080085600121134,0.4108009457049235
Q04,0.0069886366757585475,0.3952565937436107
Q05,0.00033562860531555043,0.39507481550943857
Q06,-0.0071319268435825235,0.3938158059012027
Q07,-0.002629212214411542,0.3959501814582646
Q08,-0.0037523497805759423,0.40648132916598123
Q09,0.0037108187749823373,0.41435022163304197
Q10,-0.0014911415154120692,0.4030573754218781
