,total_contribution,avg_weight,turnover
1788,0.4084386609640965,0.0084701366044945,1.2358172381602466
1114,0.3809528929474573,0.0173588306329001,1.4675607077661157
3998,0.3172613019832345,0.0149847965023408,1.7484961422955978
2899,0.2968927456920346,0.0145880121677484,1.539184810813035
135,0.2891093330052315,0.0028466832414926,0.5238470659642918
2866,0.1964140507005487,0.031333283775442,3.451839442310985
728,0.1720796383288323,0.0098339465340978,1.323083260740238
2255,0.1694549111742819,0.0094169122108596,1.3441300313448656
1681,0.1692878037755872,0.0070168714456043,1.0476117940079823
3800,0.1614492398307734,0.0053727426974532,1.0566110332087266
1357,0.1523503326621553,0.0028795050794561,0.3935521136349071
1516,0.14553292713734,0.0026084645921506,0.598222637972468
639,0.1400358957728808,0.007805343718145,1.1766096074990775
1995,0.1265259079760073,0.0122817745273176,0.8528098901246112
968,0.1216955855956493,0.0053294741998548,0.4526573494152784
6808,0.1144979019933327,0.00933278982775,1.1899654327124911
2858,0.1120812000585565,0.0052424259264459,0.824026899399303
857,0.1116099772249651,0.002882751697216,0.3361489099823326
3996,0.1112718925444359,0.004169162033037,0.5040986213973071
1071,0.1096722841393517,0.016500038566147,2.0167782643775083
1783,0.108909645842996,0.0059646256227405,0.3841499350738784
697,0.108248690317427,0.0138907138073093,1.767469290888751
992,0.0977379519943367,0.0043080119419957,0.3395923896524425
6865,0.0924355757109316,0.001505018514738,0.3155352677057061
3339,0.090804637511902,0.0168016478040397,1.640106801909368
933,0.0831800338114467,0.0014004335630462,0.3427466975272854
1883,0.0831796124474549,0.0066079508309602,0.6472939421661035
297,0.0806811677275592,0.0271638595799367,2.470390581346053
978,0.0768239760691464,0.007619405319655,1.0171292626890025
6806,0.0751281699312222,0.0018536660328241,0.3420201831214599
