group_label,mean_forward_return,hit_rate
Q01,0.009341900917530756,0.4274919341144507
Q02,0.004666974097304225,0.41207640172520027
Q03,-0.002034023134947501,0.4057237660721692
Q04,-0.0005415729484014898,0.4054551402633516
Q05,-0.0039045740171764795,0.39652641878669276
Q06,-0.003215041302563198,0.40028300316297655
Q07,-0.001815828777822388,0.3963213460903992
Q08,-0.0020531148575307404,0.3959532817897681
Q09,0.0023936341856153156,0.3965367248021873
Q10,0.013629805449334084,0.4015882469724042
