group_label,mean_forward_return,hit_rate
Q01,-0.010213121262405284,0.4043131261674308
Q02,0.0039020915172629203,0.4164304785376874
Q03,0.001157461162367432,0.40991289921194524
Q04,-0.00043406805713602184,0.40537335405250674
Q05,5.7141857719979196e-05,0.4006849315068493
Q06,-0.0048212054653258025,0.3979523888796404
Q07,-0.002619174560376775,0.39764104256021116
Q08,-0.0030868234107603847,0.3968991610462247
Q09,0.001379472616915852,0.390446994490244
Q10,0.029917259696241243,0.4169545364304149
