group_label,mean_forward_return,hit_rate
Q01,0.011670828445482955,0.3978604177279674
Q02,0.0036262085681656392,0.4014622525260823
Q03,-0.0015277240764136769,0.39968476502550915
Q04,-0.0016474827274388683,0.4017583316295236
Q05,-0.0032166866391808366,0.4019244098340604
Q06,-0.004069336541650209,0.40421990095301513
Q07,-0.00023162669129091996,0.4064252721873969
Q08,0.0004822270222233985,0.4061112025004113
Q09,0.00042049836174772016,0.403786403744977
Q10,0.01114898482268417,0.41346039309112564
