group_label,mean_forward_return,hit_rate
Q01,-0.01962192249509952,0.37988211820287593
Q02,-0.010829412994847954,0.37741602762455717
Q03,-0.004017761754932529,0.38304054054054054
Q04,-0.007426754587358487,0.3833520305137985
Q05,-0.003135167053319493,0.39714113685525054
Q06,-0.0018764237982426015,0.3915467422096317
Q07,-0.00028228684412734,0.40119288768849876
Q08,0.0007928367801326566,0.40300853165693756
Q09,0.007113048513665752,0.40910522290701334
Q10,0.006991035961130676,0.4185204002739181
